nome	lat	lon	pop	X	UF
Guaratinga	-16.566667	-39.566667	9519	1.7	BA
Camaçari	-12.483333	-38.216667	188763	2.41	BA
Santo Estêvão	-12.433333	-39.216667	27280	1.65	BA
Juàzeiro	-9.5	-40.5	137807	1.59	BA
Olindina	-11.366667	-38.35	12317	1.64	BA
Itiruçu	-13.516667	-40.15	11499	1.32	BA
Saubara	-12.75	-38.75	15669	1.21	BA
Vera Cruz	-12.633333	-41.033333	30557	2.12	BA
São Francisco do Conde	-12.65	-38.683333	24615	1.3	BA
Maracás	-13.433333	-40.45	22050	1.87	BA
Pojuca	-12.35	-38.333333	25102	0.96	BA
Itaberaba	-12.533333	-40.3	47303	2.39	BA
Iraquara	-12.25	-41.6	5131	1.25	BA
Caetité	-14.066667	-42.483333	27188	1.75	BA
Oliveira dos Brejinhos	-12.316667	-42.9	5596	1.43	BA
Tremedal	-14.966667	-41.4	3252	0.99	BA
Ruy Barbosa	-12.3	-40.45	21093	1.62	BA
Santa Maria da Vitória	-13.4	-44.2	23489	2.09	BA
Brumado	-14.216667	-41.666667	41990	2.33	BA
Ibiapina	-3.916667	-40.9	9205	0.92	CE
Santa Quitéria	-4.333333	-40.166667	24391	1.93	CE
Independência	-5.383333	-40.316667	11113	0.95	CE
Ipueiras	-7.033333	-40.45	17111	1.04	CE
Quixeré	-5.083333	-37.983333	11258	1.11	CE
Tauá	-5.966667	-40.3	29189	2.18	CE
Hidrolândia	-4.416667	-40.416667	10299	1.45	CE
Massapê	-3.516667	-40.316667	22193	1.46	CE
Araripe	-7.2	-40.133333	11860	1.5	CE
Baturité	-4.333333	-38.883333	22417	1.82	CE
Campos Sales	-7.066667	-40.383333	17648	1.84	CE
Uruburetama	-3.633333	-39.5	12076	1.01	CE
Milagres	-7.283333	-38.95	12588	1.34	CE
Orós	-6.25	-38.916667	16329	1.34	CE
Bela Cruz	-3.05	-40.183333	12715	1.05	CE
Aquiraz	-3.9	-38.366667	65117	1.84	CE
Trairi	-3.283333	-39.25	23135	1.79	CE
Redenção	-4.216667	-38.716667	14174	1.4	CE
Guaiuba	-4.033333	-38.633333	21822	1.05	CE
Pacajus	-4.166667	-38.466667	41558	1.27	CE
Cruz	-2.95	-40.183333	8723	0.99	CE
Paracuru	-3.4	-39.066667	21197	1.52	CE
Brejo Santo	-7.483333	-39	27384	1.75	CE
Barro	-6.716667	-38.866667	11519	1.03	CE
Boa Viagem	-5.116667	-39.733333	24671	1.86	CE
Quixeramobim	-5.2	-39.283333	34322	1.82	CE
Tianguá	-3.733333	-40.983333	45697	2.11	CE
Tamboril	-4.833333	-40.333333	14292	1.52	CE
Itarema	-2.9	-39.966667	10330	1.22	CE
Itapipoca	-3.5	-39.583333	55785	2.27	CE
Senador Pompeu	-5.583333	-39.366667	16516	1.62	CE
Marco	-3.133333	-40.15	14502	1.5	CE
Acopiara	-6.1	-39.45	24562	1.69	CE
Jaguaribe	-5.883333	-38.616667	23066	1.89	CE
Pacatuba	-3.966667	-38.616667	55292	1.4	CE
Cedro	-6.6	-39.05	14644	1.36	CE
Beberibe	-4.183333	-38.133333	37028	1.39	CE
Viçosa do Ceará	-3.566667	-41.083333	16637	1.42	CE
Jardim	-3.433333	-39.016667	7189	0.79	CE
Barbalha	-7.316667	-39.283333	33944	1.39	CE
Paraipaba	-3.433333	-39.116667	18424	0.97	CE
Tabuleiro do Norte	-5.25	-38.116667	16633	1.22	CE
Ubajara	-3.85	-40.933333	13802	1.21	CE
Jaguaruana	-4.833333	-37.783333	21791	1.51	CE
Acaraú	-2.883333	-40.116667	28389	2.09	CE
Farias Brito	-6.916667	-39.566667	11288	1.52	CE
Fortaleza	-3.316667	-41.416667	2416920	4.2	CE
Caririaçu	-7.033333	-39.283333	12971	1.32	CE
Aurora	-6.95	-38.966667	10757	1.34	CE
Nova Russas	-4.7	-40.566667	21986	1.77	CE
Pedra Branca	-5.45	-39.716667	20072	1.69	CE
Canindé	-4.366667	-39.316667	42721	2.15	CE
Mauriti	-7.383333	-38.766667	20064	1.57	CE
Eusébio	-3.9	-38.45	37290	1.24	CE
Icó	-6.4	-38.85	28323	1.89	CE
Itaitinga	-3.966667	-38.516667	30939	1.25	CE
Varjota	-4.133333	-40.5	16462	1.55	CE
Irauçuba	-3.75	-39.783333	13282	1.44	CE
Várzea Alegre	-5.35	-40.383333	21842	1.71	CE
Itapagé	-3.683333	-39.566667	32043	1.53	CE
Parambu	-6.216667	-40.716667	14656	1.78	CE
Guaraciaba do Norte	-4.166667	-40.766667	18186	1.4	CE
Ipu	-4.333333	-40.7	26679	2.04	CE
Coreaú	-3.55	-40.65	12383	1.58	CE
Ocara	-4.483333	-38.616667	6793	1.29	CE
Sobral	-3.7	-40.35	157998	2.65	CE
Caucaia	-3.7	-38.65	275023	3.17	CE
Crato	-7.233333	-39.383333	88788	1.28	CE
Assaré	-6.866667	-39.866667	11369	1.67	CE
Maracanaú	-3.866667	-38.633333	193532	1.87	CE
Morada Nova	-5.116667	-38.383333	37390	1.95	CE
Russas	-4.933333	-37.966667	39465	1.93	CE
Granja	-3.1	-40.833333	25880	1.54	CE
São Gonçalo do Amarante	-3.6	-38.966667	23583	1.72	CE
Amontada	-3.383333	-39.833333	13520	1.52	CE
Aracati	-4.566667	-37.766667	44294	2.14	CE
Limoeiro do Norte	-5.133333	-38.083333	29450	1.61	CE
Quixadá	-4.966667	-39.016667	49328	2.36	CE
